"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|AT","Actual Total Load [MW] - BZN|AT"
"01.01.2022 00:00 - 01.01.2022 01:00","5993","5775"
"01.01.2022 01:00 - 01.01.2022 02:00","5697","5598"
"01.01.2022 02:00 - 01.01.2022 03:00","5590","5451"
"01.01.2022 03:00 - 01.01.2022 04:00","5413","5229"
"01.01.2022 04:00 - 01.01.2022 05:00","5403","5176"
"01.01.2022 05:00 - 01.01.2022 06:00","5467","5241"
"01.01.2022 06:00 - 01.01.2022 07:00","5537","5299"
"01.01.2022 07:00 - 01.01.2022 08:00","5849","5530"
"01.01.2022 08:00 - 01.01.2022 09:00","6253","5885"
"01.01.2022 09:00 - 01.01.2022 10:00","6701","6242"
"01.01.2022 10:00 - 01.01.2022 11:00","6962","6477"
"01.01.2022 11:00 - 01.01.2022 12:00","7129","6593"
"01.01.2022 12:00 - 01.01.2022 13:00","6962","6449"
"01.01.2022 13:00 - 01.01.2022 14:00","6685","6265"
"01.01.2022 14:00 - 01.01.2022 15:00","6531","6173"
"01.01.2022 15:00 - 01.01.2022 16:00","6545","6287"
"01.01.2022 16:00 - 01.01.2022 17:00","6824","6591"
"01.01.2022 17:00 - 01.01.2022 18:00","7166","6961"
"01.01.2022 18:00 - 01.01.2022 19:00","7195","7006"
"01.01.2022 19:00 - 01.01.2022 20:00","6981","6819"
"01.01.2022 20:00 - 01.01.2022 21:00","6745","6518"
"01.01.2022 21:00 - 01.01.2022 22:00","6469","6181"
"01.01.2022 22:00 - 01.01.2022 23:00","6633","6259"
"01.01.2022 23:00 - 02.01.2022 00:00","6260","5865"
"02.01.2022 00:00 - 02.01.2022 01:00","5891","5568"
"02.01.2022 01:00 - 02.01.2022 02:00","5702","5364"
"02.01.2022 02:00 - 02.01.2022 03:00","5565","5288"
"02.01.2022 03:00 - 02.01.2022 04:00","5351","5173"
"02.01.2022 04:00 - 02.01.2022 05:00","5294","5179"
"02.01.2022 05:00 - 02.01.2022 06:00","5339","5325"
"02.01.2022 06:00 - 02.01.2022 07:00","5358","5533"
"02.01.2022 07:00 - 02.01.2022 08:00","5562","5876"
"02.01.2022 08:00 - 02.01.2022 09:00","5926","6274"
"02.01.2022 09:00 - 02.01.2022 10:00","6304","6610"
"02.01.2022 10:00 - 02.01.2022 11:00","6533","6852"
"02.01.2022 11:00 - 02.01.2022 12:00","6643","6983"
"02.01.2022 12:00 - 02.01.2022 13:00","6505","6801"
"02.01.2022 13:00 - 02.01.2022 14:00","6303","6609"
"02.01.2022 14:00 - 02.01.2022 15:00","6200","6467"
"02.01.2022 15:00 - 02.01.2022 16:00","6300","6481"
"02.01.2022 16:00 - 02.01.2022 17:00","6608","6765"
"02.01.2022 17:00 - 02.01.2022 18:00","6985","7146"
"02.01.2022 18:00 - 02.01.2022 19:00","7030","7214"
"02.01.2022 19:00 - 02.01.2022 20:00","6848","7021"
"02.01.2022 20:00 - 02.01.2022 21:00","6563","6726"
"02.01.2022 21:00 - 02.01.2022 22:00","6246","6362"
"02.01.2022 22:00 - 02.01.2022 23:00","6346","6424"
"02.01.2022 23:00 - 03.01.2022 00:00","5968","6137"
